name,year,general,location,terrain,attacker_troops,defender_troops,attacker_tactics,defender_tactics,outcome,key_lesson,general_insight
Asiago,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Südtirol Offensive, also known as the Battle of Asiago or Battle of the Plateaux (in Italian: Battaglia degli Altipiani), wrongly nicknamed Strafexpedition ""Punitive expedition"" (this name has no "
Quatre Bras,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Quatre Bras was fought on 16 June 1815, as a preliminary engagement to the decisive Battle of Waterloo that occurred two days later. The battle took place near the strategic crossroads o"
Lists of battles,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Lists of battles contain links to sets of articles on battles. They may be organized alphabetically, by era, by conflict, by participants or location, or by death toll. See Category:Battles for a comp"
Sagrajas,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Sagrajas (23 October 1086), also called Zalaca or Zallaqah (Arabic: معركة الزلاقة, romanized: Maʿrakat az-Zallāqah), was a conflict fought in 1086 between the Almoravid army, led by thei"
Eastern theater of the American Civil War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The eastern theater of the American Civil War consisted of the major military and naval operations in the states of Virginia, West Virginia, Maryland, and Pennsylvania, the national capital in Washing"
Chusto-Talasah,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Chusto-Talasah, also known as Bird Creek, Caving Banks, and High Shoal, was fought December 9, 1861, in what is now Tulsa County, Oklahoma (then Indian Territory) during the American Civ"
Aftermath of World War II,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The aftermath of World War II saw the rise of two global superpowers, the United States (U.S.) and the Soviet Union (USSR). The aftermath of World War II was also defined by the rising threat of nucle"
Afabet,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Afabet was a three-day battle fought from 17 March through 20 March 1988 in and around the town of Afabet, as part of the Eritrean War of Independence. The battle has been described as b"
Camden,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Camden (August 16, 1780), also known as the Battle of Camden Court House, was a major victory for the British in the Southern theater of the American Revolutionary War. On August 16, 178"
Chickamauga,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Chickamauga, fought on September 18–20, 1863, between the United States Army and Confederate forces in the American Civil War, marked the end of a U.S. Army offensive, the Chickamauga Ca"
Romania in World War I,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Kingdom of Romania remained neutral throughout the first two years of World War I. They eventually entered the conflict on the side of the Entente from 27 August 1916 until insurmountable pressure
Outline of the American Civil War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The following outline is provided as an overview of and topical guide to the American Civil War:
American Civil War – civil war in the United States of America that lasted from 1861 to 1865. Eleven So"
Fulford,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Fulford was fought on the outskirts of the village of Fulford, just south of York in England, on 20 September 1066. King Harald III of Norway, also known as Harald Hardrada, a claimant t"
Perryville,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Perryville, also known as the Battle of Chaplin Hills, was fought on October 8, 1862, in the Chaplin Hills west of Perryville, Kentucky, as the culmination of the Confederate Heartland O"
Pikysyry campaign,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Pikysyry campaign was the Paraguayan War's fourth phase. It lasted from August 1868 to January 1869 and was a comprehensive Allied victory.
After success in the Mato Grosso campaign and failure in"
Battles and operations of the Indian National Army,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Battles and operations involving the Indian National Army (INA) during the Second World War took place in the South-East Asian theatre in the South-East Asian theatre. The INA’s involvement spanned es
Beroia,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Beroia (modern Stara Zagora) was fought in 1122 between the Pechenegs and the Byzantine Empire under Emperor John II Komnenos (r. 1118–1143) in what is now Bulgaria. The Byzantine army w
Felix Battles,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Felix Battles (early 1840s – April 20, 1907) was an American former slave and Civil War veteran who served in the United States Colored Troops, and one of the first settlers of Moorhead, Minnesota, wh"
List of American Civil War battles,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Battles of the American Civil War were fought between April 12, 1861, and May 12–13, 1865 in 19 states, mostly Confederate (Alabama, Arkansas, Florida, Georgia, Kansas, Kentucky, Louisiana, Maryland, "
War Department,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"War Department or Department of War may refer to current and historical ministries of defence, including:

War Department (United Kingdom), 1747–1857
War Office, British war department, 1857–1964
Unit"
Khankala (1222),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"During a raid on the Caucasus conducted by the Mongol army led by Subutai and Jebe in 1222, its army clashed with a united force of North Caucasians and Kipchak Turks. The battle ended in a victory fo"
On War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Vom Kriege (German pronunciation: [fɔm ˈkʁiːɡə]) is a book on war and military strategy by Prussian general Carl von Clausewitz (1780–1831), written mostly after the Napoleonic wars, between 1816 and "
Kleidion,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Kleidion (Ancient Greek: Κλειδίον; or Clidium, after the medieval name of the village of Klyuch, lit. 'key'; also known as the Battle of Belasitsa) took place on 29 July 1014, between th"
Emu War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Emu War (or Great Emu War) was a nuisance wildlife management military operation undertaken in Australia over the later part of 1932 to address public concern over the number of emus, large flight"
Soviet Union in World War II,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"After the Munich Agreement, the Soviet Union pursued a rapprochement with Nazi Germany. On 23 August 1939, the Soviet Union signed a non-aggression pact with Germany which included a secret protocol t"
Thailand in the Korean War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Kingdom of Thailand was one of the 21 countries who responded to the United Nations request to send troops to aid South Korea during the Korean War 1950–1953.

"
Izmail,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The siege of Izmail or Ismail / Ishmael / İzmail (Turkish: İzmail Kuşatması), also called the storming of Izmail (Russian: Штурм Измаила), was a military action fought in 1790 on the Black Sea during "
Badr,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Badr or  sometimes called The Raid of Badr (Arabic: غَزْوَةُ بَدْرٍ [ɣazwatu badr]; Ghazwahu Badr), also referred to as The Day of the Criterion (Arabic: يَوْمُ الْفُرْقَانْ, Arabic pron"
